The Updated Zwicky Catalog (UZC) -- Falco et al. 1999, PASP 111, 438
#---------------------------------------------------------------------
ra2000 (hhmmss.s), dec2000 ([+/-]ddmmss): J2000 ra and dec
Zmag: Zwicky magnitude
cz: redshift km/s
cze: redshift error km/s
T: spectral type (A)bsorption, (E)mission
U: UZC class 0-4 (see Falco et al. 1999, PASP 111, 438)
Ne: No. of UZC neighbors
Zname: Zwicky name
C: spectral code, (F)AST, (Z)MACHINE
Ref: reference code (see Falco et al. 1999, PASP 111, 438)
Oname: other name
M: * if UZC multiple
N: NED (P)air, (T)riple, (G)roup
#---------------------------------------------------------------------
ra2000  	dec2000	Zmag	cz   	cze	T	U	Ne	Zname       	C	Ref 	Oname      	M	N
075634.8	+633631	14.9	 6959	125	-	0	 0	075206+63440	 	0002	07521+6344 	 	 
075525.3	+391110	15.5	10138	 52	-	0	 0	075200+39190	 	2732	07520+3919 	 	 
075653.3	+663640	14.4	 4080	 15	-	0	 0	075206+66440	 	0613	07521+6644 	 	 
075457.9	+142719	15.1	 8822	 59	A	0	 0	075206+14350	Z	2766	07521+1435 	 	 
075523.3	+264433	15.2	 4678	 39	E	1	 0	075218+26520	Z	0668	I 480      	 	 
075510.3	+142211	15.4	13448	 75	B	0	 0	075224+14300	F	    	07524+1430 	 	 
075516.5	+142604	15.4	 8726	 45	B	0	 0	075224+14340	F	    	07524+1434 	 	 
075527.7	+234450	15.4	 5608	 47	A	1	 0	075230+23520	Z	2766	07525+2352 	 	 
075632.1	+564114	15.5	 8613	 27	A	0	 0	075230+56490	F	    	N2461      	 	 
075720.9	+662614	14.5	 4913	  9	-	0	 0	075242+66340	 	2212	07527+6634 	 	 
075522.5	+150540	15.3	 4703	 15	E	0	 0	075230+15130	F	    	07525+1513 	 	 
075652.4	+602058	12.5	 1450	  5	-	0	 0	075236+60300	 	2812	N2460      	 	 
075655.4	+585241	15.5	 6149	 47	A	0	 0	075242+59010	Z	2700	07527+5901 	 	 
075548.7	+244221	14.7	 4672	  7	-	0	 0	075248+24500	 	2212	07528+2450 	 	 
075711.0	+613940	15.2	 8604	 30	-	0	 0	075254+61470	 	3530	07529+6147 	 	 
075558.3	+265315	15.4	10936	 15	E	2	 0	075248+27010	F	    	07528+2701 	 	 
075722.8	+622441	15.1	11564	 24	A	0	 0	075300+62320	F	    	07530+6232 	 	 
075640.6	+445211	15.5	15036	 32	A	2	 0	075306+45000	F	    	07531+4500 	 	P
075718.9	+583115	15.5	 5920	 63	B	0	 0	075306+58400	F	    	07531+5840 	 	 
075712.5	+564036	14.8	 8277	 21	-	0	 0	075306+56480	 	2700	N2463      	 	 
075600.6	+141144	15.2	10716	 53	A	0	 0	075306+14200	Z	2766	07531+1420 	 	 
075559.9	+125853	15.3	13352	 33	A	0	 0	075312+13070	F	    	07532+1307 	 	 
075625.2	+292809	15.2	 4281	 37	E	1	 0	075312+29360	Z	2766	07532+2936 	 	 
075701.9	+493402	13.9	 3504	  7	-	0	 0	075318+49420	 	2212	07533+4942 	 	 
075732.5	+590502	15.0	 5680	 48	B	0	 0	075318+59140	Z	2700	07533+5914 	 	 
075625.1	+270045	15.0	 6565	  9	-	0	 0	075318+27090	 	2212	07533+2709 	 	 
075645.2	+395541	13.4	 3734	 40	A	0	 0	075318+40040	Z	2732	N2476      	 	 
075614.6	+170113	15.5	 5053	 17	E	0	 0	075324+17090	F	    	07534+1709 	 	 
075616.7	+113944	15.2	13736	 64	A	1	 0	075330+11480	Z	2700	07535+1148 	 	 
075613.7	+072715	15.5	 9739	 23	-	1	 0	075330+07350	 	2700	07535+0735 	 	 
075731.4	+524059	15.4	12285	 29	A	0	 0	075342+52500	F	    	07537+5250 	 	 
075640.5	+165512	15.0	 8616	 36	E	0	 0	075354+17030	Z	2766	07539+1703 	 	 
075641.9	+175928	14.7	12409	 67	B	2	 0	075354+18080	F	    	07539+1808 	 	T
075704.0	+330500	14.7	 5197	 60	-	0	 0	075348+33130	M	2766	07538+3313 	 	 
075803.4	+564050	13.2	 3499	 38	B	0	 0	075400+56490	Z	2218	N2469      	 	 
075802.4	+562134	14.9	 8850	 52	A	0	 0	075400+56300	Z	2700	N2468      	 	 
075654.2	+155029	15.2	 8731	 56	A	1	 0	075406+15580	Z	2766	07541+1558 	 	 
075703.6	+223123	15.5	14340	 48	E	1	 0	075406+22390	Z	2766	07541+2239 	 	 
075648.7	+072840	13.3	 4615	 55	B	0	 0	075406+07370	F	    	N2485      	 	 
075800.5	+525142	13.9	 5640	 45	A	2	 0	075406+53000	Z	    	N2474      	 	P
075725.8	+355625	15.5	  774	   	-	1	 0	075412+36040	 	0627	07542+3604 	 	 
075722.4	+330345	15.2	 5189	 43	A	0	 0	075406+33120	Z	2766	07541+3312 	 	 
075710.5	+234646	15.2	 2299	 35	E	0	 1	075412+23550	Z	2212	N2480      	*	 
075715.5	+272945	15.5	 8000	 32	A	0	 0	075406+27370	F	    	07541+2737 	 	 
075701.8	+142327	15.2	  368	 92	B	4	 0	075412+14310	F	    	07542+1431 	 	 
075713.9	+234603	13.4	 2180	 20	A	2	 1	075418+23540	F	    	07543+2354 	*	 
075708.1	+103547	15.3	13812	 63	B	1	 0	075424+10440	F	    	07544+1044 	 	 
080010.7	+730406	15.5	 4200	   	-	0	 0	075424+73120	 	3700	07544+7312 	 	 
075744.8	+375927	15.5	12084	 38	A	0	 0	075424+38080	F	    	07544+3808 	 	 
075804.3	+471917	15.3	 2466	 26	-	1	 0	075430+47270	 	2700	07545+4727 	 	P
075715.9	+110247	15.3	13925	 37	A	0	 0	075430+11110	F	    	07545+1111 	 	 
075719.7	+111222	15.5	13922	 67	A	1	 0	075436+11210	F	    	07546+1121 	 	 
075745.7	+323329	14.5	 5348	 47	B	0	 0	075430+32420	Z	2212	I2211      	 	 
075841.7	+564204	15.4	 5764	 15	E	3	 0	075436+56500	Z	2779	N2472      	 	 
075901.3	+590700	14.7	 5927	 32	A	2	 1	075448+59150	F	    	07548+5915 	*	 
075829.6	+473911	15.4	17975	 49	B	0	 0	075454+47470	Z	2700	07549+4747 	 	 
075904.1	+590812	15.4	 5958	 79	-	0	 1	075454+59170	 	0002	07549+5917 	*	 
075756.5	+250939	14.3	 4649	  2	-	0	 0	075454+25170	 	0661	N2486      	 	 
075747.5	+160149	15.3	 4792	 70	B	0	 0	075500+16100	F	    	07550+1610 	 	 
075846.1	+502735	15.3	 6710	 18	-	0	 0	075500+50370	 	2700	07550+5037 	 	 
075805.0	+263414	15.5	 4547	 17	E	0	 0	075500+26420	F	    	07550+2642 	 	 
075735.7	-013306	15.5	15930	 43	B	0	 0	075500-01250	F	    	07550-0125 	 	 
075828.1	+374712	14.9	12842	 26	-	0	 0	075506+37550	 	0000	N2484      	 	 
075801.5	+144212	15.1	14239	 54	B	1	 0	075512+14490	Z	2766	07552+1449 	 	 
075820.5	+250857	14.0	 4833	  4	-	0	 0	075518+25160	 	2212	N2487      	 	 
075804.4	+101847	15.3	13756	 39	A	0	 0	075518+10270	F	    	07553+1027 	 	 
075829.7	+310231	15.5	17922	 89	B	0	 0	075518+31100	F	    	07553+3110 	 	 
075925.4	+551745	14.9	 6339	   	-	0	 0	075524+55250	 	1819	07554+5525 	 	 
080157.0	+755626	15.5	 5533	 71	B	1	 0	075536+76050	F	    	07556+7605 	 	 
075813.8	+080859	15.5	 9204	 27	-	2	 1	075530+08170	 	2766	07555+0817 	*	 
075825.5	+080839	15.5	10352	 23	A	2	 1	075548+08170	F	    	07558+0817 	*	 
075857.2	+323644	15.3	 8499	 34	A	0	 0	075542+32450	F	    	I2212      	 	 
075829.0	+075159	15.4	 9539	 51	-	1	 0	075548+08000	 	2766	07558+0800 	 	 
075951.3	+565455	15.5	 8750	 53	A	0	 0	075548+57030	Z	2700	07558+5703 	 	 
075836.6	+120949	15.4	14873	 49	B	1	 0	075548+12180	F	    	07558+1218 	 	 
075836.6	+081456	15.3	10487	 24	-	1	 0	075554+08230	 	2766	07559+0823 	 	 
075837.4	+080145	14.8	 9655	 34	A	0	 0	075554+08100	F	    	N2496      	 	 
075953.6	+552229	15.4	10757	 26	A	2	 1	075600+55300	F	    	07560+5530W	*	 
080012.9	+601718	13.9	 5977	  4	-	0	 0	075554+60250	 	0668	07559+6025 	 	 
075913.0	+325452	13.5	 5227	 41	B	0	 0	075600+33030	Z	0668	07560+3303 	 	 
075906.6	+272750	15.4	 6779	 49	A	0	 0	075600+27360	Z	2766	I2213      	 	P
075902.8	+240938	15.1	 4817	 44	B	0	 0	075600+24170	Z	0661	I 481      	 	 
075851.7	+072934	15.1	 9779	 13	-	1	 0	075612+07380	 	2218	N2499      	 	 
080012.9	+562110	15.5	 8936	 32	A	2	 0	075612+56300	F	    	07562+5630 	 	 
075944.7	+452158	15.5	 4868	 48	A	0	 0	075612+45300	Z	2700	07562+4530 	 	 
080011.9	+552212	15.4	10533	 24	A	2	 1	075600+55300	F	    	07560+5530E	*	 
075917.9	+270440	15.3	 6802	 54	A	2	 0	075612+27130	Z	2766	N2490      	 	 
075917.2	+242708	15.5	 5837	  9	-	0	 0	075618+24350	 	2212	07563+2435 	 	 
075954.5	+472448	15.0	 6695	 47	A	0	 0	075618+47330	Z	2700	07563+4733 	 	 
075946.5	+421527	15.4	13063	 18	-	2	 0	075618+42230	 	2700	07563+4223 	 	 
075858.4	+031307	15.5	16680	 18	-	1	 0	075624+03200	 	2700	07564+0320 	 	 
075928.5	+265323	15.4	 7957	 89	B	0	 0	075624+27010	F	    	07564+2701 	 	 
075929.7	+270135	14.4	 6775	 48	A	0	 0	075624+27100	Z	2732	N2492      	 	 
075922.1	+180637	14.9	 4709	  9	-	1	 0	075630+18150	 	2212	07565+1815 	 	 
075923.6	+162517	15.0	 4888	  5	-	1	 0	075630+16340	 	2212	07565+1634 	 	 
075907.0	-003817	14.2	 3556	  9	-	0	 0	075636-00300	 	2220	N2494      	 	 
075938.8	+245857	14.4	 4636	 36	E	0	 0	075636+25060	Z	2212	N2498      	 	 
075930.9	+172929	15.4	 8637	 53	B	0	 0	075636+17370	F	    	07566+1737 	 	 
075957.2	+354851	14.9	 5238	 41	B	0	 0	075636+35570	Z	2754	07566+3557 	 	 
075953.8	+331725	14.4	 5908	 37	E	1	 0	075642+33260	Z	2732	I2214      	 	 
080015.6	+451358	15.1	15053	 41	E	0	 0	075648+45220	Z	2700	07568+4522 	 	 
075947.3	+252125	15.0	 7972	 40	B	0	 0	075648+25290	Z	2766	I 482      	 	 
075940.2	+152311	14.0	 4623	  9	-	0	 0	075648+15310	 	2212	07568+1531 	 	 
075946.6	+182406	15.0	12416	 62	A	0	 0	075654+18330	Z	2700	07569+1833 	 	 
075953.5	+232324	14.8	 8824	 37	B	2	 0	075654+23310	F	    	07569+2331 	 	 
080053.2	+553347	15.2	10216	 35	A	0	 0	075654+55410	F	    	07569+5541 	 	 
075954.5	+240041	15.5	14078	 47	A	0	 0	075654+24080	F	    	07569+2408E	 	P
080023.9	+421131	15.5	  731	 20	E	4	 0	075654+42190	F	    	07569+4219 	 	 
080001.1	+263956	15.3	 8119	 50	B	0	 0	075654+26480	Z	2766	I 484      	 	 
080023.7	+394950	13.1	 3930	 42	A	0	 0	075700+39580	Z	3528	N2493      	 	 
080027.9	+413938	15.4	13120	 44	A	0	 0	075700+41480	F	    	07570+4148 	 	 
080004.1	+232615	15.4	 8768	 44	B	2	 0	075700+23340	F	    	07570+2334 	 	 
080110.9	+554527	15.5	10633	 29	A	2	 1	075712+55530	F	    	07572+5553 	*	 
080047.8	+464127	15.2	 5789	 36	E	0	 0	075712+46500	Z	2700	07572+4650 	 	 
075952.3	+053630	14.1	 2590	 35	E	0	 0	075712+05450	Z	2212	N2504      	 	 
080418.5	+774900	13.1	 2286	  5	-	1	 0	075700+77580	 	0912	07570+7758 	 	 
080115.2	+554431	15.4	10131	 56	B	2	 1	075718+55520	F	    	07573+5552 	*	 
080020.0	+264203	15.5	 8365	 53	B	2	 0	075718+26500	F	    	07573+2650 	 	 
080021.1	+263648	14.7	 8057	  9	-	0	 0	075718+26450	 	2212	I 486      	 	 
080006.3	+130908	15.1	 4622	  9	-	1	 0	075718+13170	 	2212	07573+1317 	 	 
080001.4	+080021	15.2	 4126	 45	A	0	 0	075718+08090	Z	2766	07573+0809 	 	 
080005.2	+064209	14.7	 9918	 39	E	0	 0	075724+06500	Z	2766	07574+0650 	 	 
080044.2	+371222	15.5	 3997	 15	E	4	 0	075724+37200	F	    	07574+3720 	 	 
080128.7	+553557	15.1	10197	 24	A	0	 0	075730+55430	F	    	07575+5543 	 	 
080151.6	+612447	13.9	 1591	  8	-	0	 0	075736+61320	 	2812	07576+6132 	 	 
080036.7	+222400	15.0	 5505	  7	-	0	 0	075736+22320	 	2212	N2503      	 	 
080047.1	+294453	15.0	12248	 37	E	0	 0	075736+29530	Z	2766	07576+2953 	 	 
080145.9	+563313	14.2	 8598	106	-	0	 0	075748+56420	 	3509	N2488      	 	 
080049.8	+273001	14.2	 5177	 35	E	0	 0	075742+27380	Z	2212	I2217      	 	 
080027.9	+074856	15.1	 4081	 29	-	1	 0	075742+07570	 	2700	07577+0757 	 	 
080036.7	+154104	15.0	 4725	 48	A	0	 0	075748+15490	Z	2732	07578+1549 	 	 
080037.5	+134150	14.9	 4537	 30	A	0	 0	075748+13500	F	    	07578+1350 	 	 
080041.0	+162024	15.4	 4844	 27	-	1	 0	075748+16290	 	2700	07578+1629 	 	 
080046.0	+163250	14.9	 4369	  9	-	0	 0	075754+16400	 	2212	07579+1640 	 	 
080126.5	+441137	15.5	 9400	 39	A	0	 0	075754+44190	F	    	07579+4419 	 	 
080200.3	+565504	15.0	 8133	 48	B	2	 2	075800+57040	F	    	07580+5704W	*	P
080202.3	+563839	15.2	 8415	 52	A	0	 0	075800+56470	Z	2700	07580+5647 	 	 
080205.0	+565501	15.0	 8219	 40	A	2	 2	075800+57040	F	    	07580+5704E	*	P
080047.9	+093925	15.4	 8932	 85	B	1	 0	075800+09480	F	    	07580+0948 	 	 
080132.3	+420008	15.3	 9549	 28	-	0	 0	075806+42080	 	2700	07581+4208 	 	 
080211.0	+565633	14.5	 8173	140	-	0	 2	075818+57050	 	3509	N2497      	*	 
080153.1	+504415	12.3	  515	  4	-	0	 0	075812+50540	 	2212	N2500      	 	 
080205.5	+550104	15.5	14432	 50	B	2	 0	075806+55090	F	    	07581+5509 	 	P
080408.8	+740253	14.5	 3804	 10	-	1	 0	075812+74110	 	2212	N2523A     	 	 
080232.9	+612318	13.5	 1592	  3	-	0	 0	075818+61310	 	2218	07583+6131 	 	 
080119.5	+291046	15.4	12308	 49	A	0	 0	075812+29190	Z	2766	07582+2919 	 	 
080118.0	+251815	15.5	 4468	 22	E	2	 0	075818+25250	Z	2700	07583+2525N	 	 
080056.9	+021735	15.4	12107	 30	-	1	 0	075812+02260	 	2766	07582+0226 	 	 
080128.5	+271638	15.5	14308	 33	A	0	 0	075824+27250	F	    	07584+2725 	 	 
080116.6	+091554	15.5	 4666	 66	A	0	 0	075830+09240	F	    	07585+0924 	 	 
080123.1	+152210	14.5	 4646	 53	A	0	 0	075836+15300	Z	2732	07586+1530 	 	 
080324.8	+670925	15.4	11672	 51	B	0	 0	075836+67170	F	    	07586+6717 	 	 
080117.3	+041759	15.4	10508	 41	-	1	 0	075836+04250	 	2766	07586+0425 	 	 
080142.4	+251425	15.5	 4686	 62	A	0	 0	075842+25220	F	    	07587+2522 	 	 
080122.8	+060835	15.3	11626	 29	-	1	 0	075842+06160	 	2766	07587+0616 	 	 
080137.2	+154235	14.0	 4586	 50	A	0	 0	075848+15510	Z	2732	N2507      	 	P
080130.8	+094226	14.6	 4879	  9	-	0	 0	075848+09510	 	2212	07588+0951 	 	 
080139.5	+104359	15.2	 4871	 47	B	0	 0	075854+10520	Z	0661	07589+1052 	 	 
080138.3	+063725	15.2	 9292	 36	-	1	 0	075900+06460	 	2766	07590+0646 	 	 
080204.2	+271329	15.5	 6648	 84	B	0	 0	075900+27220	F	    	07590+2722 	 	 
080212.1	+321854	15.3	11164	 89	B	0	 0	075900+32270	F	    	07590+3227 	 	 
080302.2	+560623	15.5	 8646	 41	-	1	 0	075900+56130	 	2700	07590+5613 	 	 
080146.4	+041712	15.5	10891	 17	E	1	 0	075912+04250	F	    	07592+0425 	 	 
080155.5	+114313	15.1	 4912	 50	A	0	 0	075912+11520	Z	2766	07592+1152 	 	 
080154.2	+093733	14.9	 4772	 32	A	1	 0	075912+09460	F	    	07592+0946 	 	 
080158.3	+094039	15.3	14523	 73	B	0	 0	075918+09490	F	    	07593+0949 	 	 
080157.2	+083306	14.2	 4379	 44	A	1	 0	075912+08420	Z	2732	N2508      	 	 
080223.6	+311115	15.5	11677	 24	A	0	 0	075912+31190	F	    	07592+3119 	 	 
080242.8	+404043	15.2	 3086	  7	-	1	 0	075918+40490	 	2212	07593+4049 	 	 
080239.0	+344635	15.2	 9628	 48	A	0	 0	075924+34550	Z	2766	07594+3455 	 	 
080249.2	+402727	15.4	12681	 55	A	0	 0	075924+40360	Z	2766	07594+4036 	 	 
080208.1	+074021	15.3	 9999	   	-	1	 0	075924+07490	 	3800	07594+0749 	 	 
080210.6	+092910	14.7	 3981	 57	B	0	 0	075924+09370	F	    	N2510      	 	 
080349.2	+611714	15.1	 7497	 65	B	0	 0	075936+61250	F	    	07596+6125 	 	P
080349.7	+612049	14.5	 1507	 38	E	0	 0	075936+61290	Z	2700	07596+6129 	 	 
080206.0	+004831	15.5	 5562	  7	-	1	 0	075930+00570	 	2212	07595+0057 	 	G
080215.0	+092340	15.0	 4888	   	-	0	 1	075930+09320	 	1819	N2511      	*	 
080239.2	+301518	15.5	11954	 75	B	0	 0	075930+30230	F	    	07595+3023 	 	 
080236.5	+272615	14.5	 5225	  2	-	0	 0	075930+27350	 	0661	I2219      	 	 
080212.5	+042006	15.5	10161	 29	-	1	 0	075936+04280	 	2766	07596+0428 	 	 
080407.7	+625903	15.5	 7115	 44	-	2	 0	075942+63070	 	2779	07597+6307W	 	T
080221.6	+065242	14.8	 9280	  9	-	0	 0	075942+07010	 	2212	07597+0701 	 	 
080224.7	+093550	15.0	 4398	 26	A	1	 0	075942+09440	F	    	07597+0944 	 	 
080224.7	+092449	13.7	 4728	 17	-	0	 1	075942+09330	 	5521	N2513      	*	 
080310.6	+395422	15.4	12385	 64	A	2	 0	075948+40030	Z	2766	07598+4003 	 	 
080237.9	+093001	15.2	 4761	 31	A	0	 0	075954+09390	F	    	07599+0939 	 	 
080324.1	+415453	14.7	 9697	 44	A	0	 0	075954+42030	Z	2700	07599+4203 	 	 
080249.7	+154830	14.4	 4855	  4	-	0	 0	080000+15570	 	2212	N2514      	 	 
080257.5	+161758	14.7	 4976	 50	A	0	 0	080006+16270	Z	2700	08001+1627 	 	 
080315.5	+304748	14.9	12085	 57	B	1	 0	080000+30550	F	    	08000+3055 	 	 
080308.8	+243923	15.5	12613	 53	A	2	 0	080006+24470	Z	2700	08001+2447 	 	 
080307.8	+232330	14.2	 4657	 39	B	0	 0	080006+23320	Z	2212	N2512      	 	 
080248.6	+001714	15.5	 3548	 74	B	1	 0	080012+00250	F	    	08002+0025 	 	 
080406.8	+533257	14.0	 9749	 41	-	0	 0	080012+53420	 	1814	N2505      	 	 
080413.1	+552351	15.0	 9714	 50	-	0	 0	080012+55320	 	1820	08002+5532 	 	 
080329.0	+332744	14.7	11735	150	-	0	 0	080018+33360	 	0510	08003+3336 	 	 
080506.9	+664659	14.6	 4888	 10	-	0	 0	080024+66550	 	2212	08004+6655 	 	 
080444.6	+613207	15.1	 9097	 59	B	0	 0	080030+61410	F	    	08005+6141 	 	 
080328.1	+250610	15.2	 8300	  5	-	0	 0	080030+25140	 	0606	08005+2514 	 	 
080306.5	+032500	15.4	10729	 38	E	1	 0	080030+03320	Z	2700	08005+0332 	 	 
080344.5	+352034	15.4	 9997	 57	A	0	 0	080030+35290	Z	2700	08005+3529 	 	 
080435.5	+553236	15.4	10228	 38	A	0	 0	080036+55400	F	    	08006+5540 	 	 
080321.7	+065953	15.4	10093	 43	B	1	 0	080042+07080	Z	2700	08007+0708 	 	 
080325.5	+100302	14.5	 4503	 53	A	0	 0	080042+10110	Z	2700	08007+1011 	 	 
080319.9	+030309	15.0	10302	 45	A	0	 0	080042+03100	Z	2700	08007+0310 	 	 
080355.0	+263111	15.3	 6490	 18	E	2	 0	080048+26400	Z	2736	I 491A     	 	P
080640.2	+732037	14.6	 3590	 20	-	0	 0	080100+73290	 	3700	08010+7329 	 	 
080418.3	+401145	15.0	12229	 51	A	2	 1	080054+40200	Z	2700	08009+4020 	*	 
080345.7	+151423	15.5	11557	 53	A	0	 0	080054+15220	Z	2700	08009+1522 	 	 
080411.0	+345122	15.4	18792	 50	B	0	 0	080054+35000	Z	2700	08009+3500 	 	 
080343.2	+095735	15.1	10285	 22	A	0	 0	080100+10060	F	    	08010+1006 	 	 
080343.9	+100306	15.5	10187	 85	B	2	 0	080100+10120	F	    	08010+1012 	 	 
080341.5	+073321	15.4	 9950	 15	-	1	 0	080100+07420	 	    	08010+0742 	 	 
080416.0	+301057	15.4	 4194	 66	B	0	 0	080100+30190	F	    	08010+3019 	 	 
080431.2	+401221	14.6	12015	 19	E	2	 1	080106+40210	F	    	08011+4021 	*	 
080359.9	+151516	15.4	16608	 49	E	0	 0	080106+15240	Z	2700	08011+1524 	 	 
080356.3	+084159	15.1	 4834	   	-	0	 0	080112+08500	 	0514	08012+0850 	 	 
080400.0	+100035	15.2	10174	 50	B	0	 0	080118+10090	Z	2700	08013+1009 	 	 
080358.9	+083206	15.2	11471	 38	E	1	 0	080118+08400	Z	2779	08013+0840 	 	 
080425.0	+293024	14.6	 5509	 13	E	2	 0	080112+29380	Z	2736	08012+2938A	 	P
080406.2	+094852	15.2	10258	 34	A	1	 0	080124+09570	F	    	08014+0957 	 	 
080405.8	+050650	14.4	 4065	 42	E	0	 0	080130+05150	Z	2212	08015+0515 	 	 
080413.0	+072234	15.2	13857	 43	-	1	 0	080130+07310	 	2700	08015+0731 	 	 
080415.0	+084357	15.3	 4662	 36	E	1	 0	080130+08520	Z	2700	08015+0852 	 	 
080416.0	+083844	15.5	10082	 55	B	1	 0	080130+08470	Z	2700	08015+0847 	 	 
080510.3	+470305	15.3	 6884	 50	B	0	 0	080136+47120	Z	2700	08016+4712 	 	 
080505.4	+401028	15.1	14964	 55	A	0	 0	080142+40190	Z	2700	08017+4019 	 	 
080508.9	+403530	15.3	 7859	 53	A	0	 0	080148+40440	Z	2700	08018+4044 	 	 
080526.5	+464228	14.7	 6794	 52	A	2	 0	080154+46510	Z	2700	08019+4651 	 	P
080448.2	+204136	14.8	 9360	  6	-	1	 0	080148+20500	 	2212	08018+2050 	 	 
080514.8	+372822	15.3	 9878	 49	B	0	 0	080154+37360	Z	2700	I2222      	 	 
080504.2	+294322	15.5	 6486	 46	E	0	 0	080154+29510	Z	2736	08019+2951 	 	 
080446.3	+104637	14.9	10323	 57	B	0	 0	080206+10550	Z	2700	08021+1055 	 	 
080505.4	+250344	15.3	 5017	  9	-	0	 0	080200+25120	 	2212	08020+2512 	 	 
080528.8	+373329	15.2	10157	 42	B	2	 1	080206+37420	F	    	08021+3742 	*	 
080455.8	+105048	15.1	10429	 40	E	1	 0	080212+10590	Z	2700	08022+1059 	 	 
080529.8	+373210	15.2	10025	 53	A	2	 1	080206+37420	F	    	08021+3742S	*	 
080528.1	+355648	15.0	 9922	 51	A	0	 0	080212+36050	Z	2700	I2225      	 	 
080633.3	+610423	15.4	 7483	 59	B	0	 0	080218+61130	F	    	08023+6113 	 	 
080456.3	+050349	15.3	10241	 41	E	1	 0	080218+05120	Z	2700	08023+0512 	 	 
080611.4	+530851	15.5	19270	 53	B	0	 0	080218+53180	F	    	08023+5318 	 	 
080538.6	+261004	14.6	 5155	  5	-	1	 0	080236+26180	 	2212	I 492      	 	 
080731.0	+673354	15.4	 5242	 77	B	1	 0	080242+67420	F	    	08027+6742 	 	 
080547.8	+301352	15.5	 2305	 82	B	0	 0	080236+30220	F	    	08026+3022 	 	 
080627.4	+505717	15.5	 6790	 28	E	0	 0	080236+51070	F	    	08026+5107 	 	 
080639.5	+550850	15.4	 9822	 34	A	0	 0	080242+55170	F	    	08027+5517 	 	 
080534.1	+102337	15.1	10250	 53	B	1	 0	080248+10320	Z	2212	08028+1032 	 	 
080540.8	+104226	15.2	10278	 42	B	1	 0	080254+10510	Z	2700	08029+1051 	 	 
080545.7	+073527	15.2	15959	   	-	0	 0	080300+07440	 	0514	08030+0744 	 	P
080550.9	+122848	15.3	11022	 59	B	1	 0	080306+12370	Z	2700	08031+1237 	 	 
080544.5	-033300	15.5	15960	 18	E	0	 0	080312-03250	F	    	08032-0325 	 	 
080611.7	+205950	15.5	 4777	 37	E	0	 0	080312+21080	Z	2700	08032+2108 	 	 
080613.4	+174224	14.4	 4705	 50	A	0	 0	080318+17510	Z	2700	N2522      	 	 
080642.8	+390524	15.5	12433	 10	-	0	 0	080318+39140	 	2212	08033+3914 	 	 
080611.2	+123237	14.9	10844	  7	-	1	 0	080324+12410	 	2212	I2226      	 	 
080630.2	+265357	15.5	 7692	 31	A	0	 0	080324+27020	F	    	08034+2702 	 	 
080613.7	+114736	15.2	 9492	 57	B	1	 0	080330+11560	Z	2700	08035+1156 	 	 
080720.2	+510754	14.2	 5266	 30	-	0	 0	080330+51170	 	3509	N2518      	 	 
080619.0	+053722	15.4	 9059	 40	E	1	 0	080342+05460	Z	2700	08037+0546 	 	 
080611.0	-031657	15.1	 1335	 15	E	0	 0	080342-03080	F	    	08037-0308 	 	 
080820.5	+642253	15.3	11550	 47	B	0	 0	080348+64320	F	    	08038+6432 	 	 
080624.0	+010209	14.3	 4582	 62	B	0	 0	080348+01110	F	    	I 494      	 	 
080750.4	+564137	15.5	 8845	 31	A	0	 0	080354+56500	F	    	08039+5650 	 	 
080707.2	+361400	14.8	 9656	 44	B	0	 0	080348+36230	Z	2700	08038+3623 	 	 
080633.1	+043441	15.4	10441	 35	A	0	 0	080354+04420	F	    	08039+0442 	 	 
080653.9	+225031	15.3	 6754	  9	-	0	 0	080354+22590	 	2212	08039+2259 	 	 
080652.8	+195039	15.4	11246	 60	A	2	 0	080400+19590	Z	2700	08040+1959 	 	 
080652.1	+184416	15.0	 4653	 25	A	2	 0	080400+18530	F	    	08040+1853 	 	 
080721.4	+402354	15.2	 7907	  6	-	0	 0	080354+40330	 	2218	08039+4033 	 	 
080705.4	+270735	15.2	12416	 73	B	4	 0	080400+27160	F	    	08040+2716 	 	 
080724.9	+391139	13.5	 3937	 62	B	0	 0	080400+39200	F	    	N2528      	 	 
080648.0	+051834	13.9	 4440	 46	A	0	 0	080406+05270	Z	2700	08041+0527 	 	 
080806.4	+553057	15.5	 9904	 60	B	0	 0	080412+55390	F	    	08042+5539 	 	 
080710.3	+242321	15.3	10859	 51	A	1	 0	080406+24310	Z	2700	08041+2431 	 	 
080706.7	+184549	15.2	 4778	 24	E	2	 0	080412+18540	F	    	08042+1854 	 	 
080658.6	+080015	14.6	 4603	  8	-	0	 0	080418+08090	 	2212	N2526      	 	 
080741.0	+390016	14.4	 6964	 10	-	3	 0	080412+39090	M	2212	08042+3909 	 	 
080705.9	+080253	15.3	 4624	 30	-	1	 0	080424+08110	 	1009	I2228      	 	 
080727.6	+250802	14.8	 6208	 10	-	0	 0	080424+25160	 	0661	I 493      	 	 
080716.6	+145703	15.3	 8887	 46	A	2	 0	080424+15050	Z	2700	08044+1505 	 	 
080721.8	+174507	15.1	 5101	 37	E	1	 0	080430+17540	Z	0661	08045+1754 	 	 
080717.3	+085208	15.1	 9004	 46	B	0	 0	080436+09000	Z	2700	08046+0900 	 	 
